Student_ID,Name,Section,Branch,Attendance(%),Internal_Marks,Assignments_Submitted,Previous_Sem_Result(%)
S1000,Krishna Sharma,C,IT,81.0,30.1,2,82.8
S1001,Anika Patel,A,CSE,73.3,31.4,0,64.4
S1002,Myra Kumar,C,IT,82.8,34.5,4,67.6
S1003,Reyansh Bhatt,C,CSE,93.3,34.3,6,78.6
S1004,Sai Saxena,A,CSE,72.2,19.7,5,64.9
S1005,Dev Verma,A,AIML,72.2,22.4,0,71.8
S1006,Vivaan Gupta,C,CSE,94.0,31.1,4,77.2
S1007,Kavya Patel,B,AIML,84.2,31.1,4,73.5
S1008,Simran Agarwal,C,IT,69.4,31.1,5,69.3
S1009,Vivaan Bhatt,C,IT,81.5,40.0,2,91.7
S1010,Isha Bhatt,C,IT,69.4,31.4,4,83.6
S1011,Manav Patel,C,IT,69.4,34.8,6,63.7
S1012,Raj Saxena,A,AIML,77.9,33.7,4,51.4
S1013,Anika Sharma,C,IT,52.0,31.9,4,74.6
S1014,Ananya Kapoor,B,CSE,54.3,26.1,4,68.2
S1015,Karan Reddy,A,CSE,68.3,32.6,9,90.6
S1016,Rohan Mishra,B,CSE,62.8,23.4,9,79.8
S1017,Karan Singh,B,AIML,78.8,26.6,2,76.5
S1018,Sai Malhotra,B,IT,64.1,25.1,0,65.2
S1019,Reyansh Chauhan,B,IT,58.1,28.5,4,51.9
S1020,Aman Agarwal,A,IT,92.6,40.0,8,62.0
S1021,Saanvi Verma,A,AIML,72.3,16.8,0,72.2
S1022,Varun Bhatt,B,CSE,75.8,32.1,2,39.1
S1023,Krishna Malhotra,B,CSE,57.9,18.3,3,83.6
S1024,Sai Bhatt,A,IT,68.5,25.2,0,96.0
S1025,Riya Agarwal,A,CSE,76.3,34.5,0,35.8
S1026,Nikhil Saxena,A,CSE,61.2,28.4,7,44.0
S1027,Isha Gupta,C,AIML,79.5,21.5,1,68.4
S1028,Aditya Patel,C,AIML,67.8,23.7,7,56.3
S1029,Riya Gupta,C,AIML,71.5,32.1,6,68.9
S1030,Myra Singh,B,AIML,67.8,23.6,9,63.9
S1031,Yash Reddy,C,IT,97.2,29.3,9,49.6
S1032,Varun Chauhan,B,AIML,74.8,28.3,1,84.3
S1033,Ananya Chauhan,B,CSE,62.3,24.1,5,72.0
S1034,Aman Mishra,C,IT,84.9,40.0,5,56.6
S1035,Anika Gupta,B,CSE,60.3,31.8,2,87.6
S1036,Sneha Yadav,C,CSE,77.5,15.8,10,57.4
S1037,Shreya Patel,C,CSE,51.5,29.1,1,46.4
S1038,Ananya Nair,A,AIML,59.1,24.0,0,67.8
S1039,Yash Reddy,C,AIML,77.4,33.1,5,70.3
S1040,Meera Patel,A,IT,83.9,23.2,4,73.0
S1041,Rahul Verma,C,IT,77.1,27.3,10,75.4
S1042,Myra Verma,C,AIML,73.6,31.0,8,72.7
S1043,Rahul Malhotra,A,CSE,71.4,33.2,0,72.1
S1044,Anika Gupta,A,IT,57.3,20.8,6,56.4
S1045,Kavya Saxena,C,AIML,66.4,26.0,4,54.8
S1046,Rahul Mishra,B,AIML,69.5,25.2,4,76.1
S1047,Pooja Malhotra,A,AIML,87.7,24.1,1,68.7
S1048,Varun Kumar,B,CSE,79.1,38.6,10,77.3
S1049,Saanvi Kumar,B,AIML,53.8,30.4,2,39.4
S1050,Aadhya Bhatt,B,AIML,78.9,20.4,6,57.5
S1051,Shreya Reddy,A,AIML,70.4,33.5,5,93.6
S1052,Divya Kapoor,B,AIML,66.9,40.0,1,73.3
S1053,Divya Malhotra,A,IT,82.3,34.2,5,69.4
S1054,Nikhil Patel,B,IT,87.4,18.9,1,75.6
S1055,Ishaan Iyer,C,AIML,86.2,25.1,1,98.1
S1056,Pooja Gupta,C,CSE,64.9,35.6,1,95.0
S1057,Vihaan Singh,A,IT,71.3,23.8,10,41.3
S1058,Rohan Yadav,C,AIML,79.0,30.7,2,46.8
S1059,Dev Agarwal,C,IT,86.7,32.6,1,40.8
S1060,Arjun Malhotra,B,IT,69.2,22.4,3,53.8
S1061,Yash Agarwal,A,CSE,72.8,27.6,8,65.8
S1062,Varun Iyer,B,AIML,61.7,8.6,5,68.6
S1063,Saanvi Bhatt,B,AIML,60.6,21.9,0,42.0
S1064,Aarav Singh,B,CSE,84.8,26.5,7,37.0
S1065,Shreya Reddy,B,CSE,91.3,20.5,6,53.5
S1066,Karan Singh,B,AIML,74.1,37.8,9,78.7
S1067,Riya Kapoor,B,AIML,87.0,19.4,2,81.4
S1068,Ananya Nair,B,CSE,79.3,25.4,0,90.6
S1069,Aarav Reddy,A,IT,67.3,28.8,4,64.5
S1070,Simran Yadav,C,IT,79.3,36.6,3,77.4
S1071,Simran Singh,B,CSE,93.5,19.4,9,80.1
S1072,Priya Iyer,B,IT,74.6,35.0,7,57.5
S1073,Sneha Mishra,B,CSE,93.8,28.1,0,70.8
S1074,Rohan Chauhan,B,IT,43.6,22.1,9,74.9
S1075,Ananya Bhatt,B,IT,84.9,30.8,0,51.4
S1076,Tanya Sharma,B,AIML,76.0,29.2,3,89.6
S1077,Sneha Joshi,C,AIML,71.4,24.4,7,64.4
S1078,Pooja Sharma,C,IT,76.1,28.4,4,66.3
S1079,Krishna Chauhan,B,IT,51.1,25.7,1,50.8
S1080,Priya Patel,C,AIML,72.4,28.7,5,53.3
S1081,Vihaan Patel,A,AIML,79.3,32.0,4,32.1
S1082,Nisha Gupta,B,AIML,92.7,37.5,1,65.8
S1083,Sai Menon,A,CSE,68.8,20.6,10,100.0
S1084,Arjun Bhatt,A,IT,65.3,40.0,10,49.7
S1085,Ishaan Kumar,B,AIML,69.0,16.3,10,100.0
S1086,Neha Bhatt,C,IT,86.0,27.1,2,86.2
S1087,Ananya Reddy,A,CSE,78.9,31.5,8,57.9
S1088,Tanya Agarwal,B,CSE,68.6,29.7,6,65.4
S1089,Dev Mishra,A,AIML,81.2,24.3,6,63.0
S1090,Shreya Mishra,A,CSE,76.2,26.8,10,90.6
S1091,Priya Malhotra,A,IT,86.6,25.0,5,72.8
S1092,Nikhil Nair,A,AIML,66.6,24.5,7,82.7
S1093,Tanya Nair,C,IT,71.1,33.1,3,70.4
S1094,Krishna Patel,A,IT,70.3,30.1,7,63.3
S1095,Myra Gupta,A,CSE,57.4,23.8,3,69.9
S1096,Karan Sharma,A,CSE,78.6,33.4,7,58.9
S1097,Divya Bhatt,C,CSE,78.1,29.8,8,43.2
S1098,Myra Saxena,A,CSE,75.1,32.9,2,77.2
S1099,Myra Sharma,A,CSE,72.2,31.8,2,42.5
S1100,Arjun Verma,C,AIML,58.0,23.0,10,61.0
S1101,Myra Gupta,C,IT,70.0,24.6,1,58.4
S1102,Aditya Joshi,C,IT,70.9,32.5,9,74.7
S1103,Arjun Iyer,A,IT,65.4,31.7,2,88.5
S1104,Aadhya Reddy,C,IT,73.1,27.9,2,83.1
S1105,Pooja Mishra,C,CSE,79.8,28.7,4,75.1
S1106,Shreya Kumar,A,IT,97.6,35.7,4,55.6
S1107,Nisha Saxena,C,AIML,77.1,24.5,1,62.2
S1108,Neha Patel,A,AIML,78.1,31.3,9,60.1
S1109,Neha Kapoor,B,IT,74.1,26.8,5,57.9
S1110,Isha Singh,C,IT,52.0,26.7,4,59.0
S1111,Reyansh Kapoor,B,AIML,74.7,34.6,5,58.6
S1112,Aman Kapoor,A,AIML,75.7,33.0,0,57.9
S1113,Manav Nair,C,CSE,100.0,32.9,4,79.3
S1114,Vihaan Singh,A,AIML,72.7,35.8,8,49.2
S1115,Vihaan Malhotra,B,CSE,78.6,28.1,9,54.1
S1116,Karan Singh,A,CSE,74.6,32.1,1,41.2
S1117,Aadhya Mishra,C,CSE,61.0,26.1,0,86.2
S1118,Isha Bhatt,C,CSE,88.7,29.9,9,53.1
S1119,Raj Kumar,B,CSE,84.0,27.2,10,74.9
S1120,Dev Yadav,A,IT,84.5,28.6,8,72.1
S1121,Anika Nair,C,AIML,64.1,31.6,9,84.8
S1122,Aadhya Gupta,B,CSE,91.8,23.1,8,61.8
S1123,Raj Bhatt,C,AIML,58.2,40.0,8,50.8
S1124,Reyansh Verma,C,AIML,82.0,22.0,5,41.7
S1125,Shreya Sharma,A,CSE,100.0,20.7,7,30.0
S1126,Sai Patel,C,IT,63.1,34.9,10,67.4
S1127,Ananya Kapoor,A,CSE,68.2,32.7,0,76.6
S1128,Pooja Menon,C,IT,76.2,31.7,9,72.1
S1129,Kavya Malhotra,B,AIML,69.0,31.8,3,42.1
S1130,Vihaan Yadav,C,IT,56.4,27.9,0,80.6
S1131,Yash Sharma,A,IT,75.8,22.6,7,54.5
S1132,Yash Reddy,A,IT,62.3,28.5,0,51.4
S1133,Varun Rao,B,AIML,80.7,23.9,2,54.2
S1134,Dev Bhatt,C,AIML,64.0,33.9,3,66.2
S1135,Pooja Kumar,C,IT,93.6,27.1,7,42.7
S1136,Isha Rao,B,IT,65.6,23.0,5,64.4
S1137,Kavya Verma,C,CSE,71.1,26.1,9,71.4
S1138,Divya Bhatt,C,IT,84.8,30.5,6,81.6
S1139,Vihaan Joshi,A,CSE,60.2,24.6,7,67.6
S1140,Vihaan Verma,C,IT,77.7,23.1,1,44.9
S1141,Divya Menon,C,CSE,90.7,29.5,9,67.2
S1142,Simran Iyer,B,AIML,55.7,29.5,10,49.1
S1143,Ananya Verma,B,IT,77.2,25.0,7,48.2
S1144,Simran Gupta,A,IT,78.1,25.2,2,44.6
S1145,Diya Gupta,C,IT,84.4,29.4,6,36.3
S1146,Sneha Gupta,C,IT,60.2,19.3,2,56.5
S1147,Aadhya Malhotra,C,CSE,59.2,19.6,6,81.9
S1148,Krishna Saxena,A,IT,81.3,23.7,10,98.8
S1149,Aadhya Saxena,A,AIML,78.6,26.7,1,56.4
S1150,Sneha Verma,B,AIML,78.0,29.9,9,81.3
S1151,Kritika Gupta,A,IT,79.2,36.9,5,59.1
S1152,Manav Saxena,C,AIML,66.8,33.1,2,40.2
S1153,Nisha Iyer,C,IT,77.8,27.0,2,75.5
S1154,Rahul Reddy,A,IT,78.5,27.9,8,68.5
S1155,Kavya Joshi,C,AIML,66.4,22.0,6,92.3
S1156,Aadhya Reddy,C,IT,97.4,27.9,4,42.0
S1157,Siddharth Kumar,A,AIML,80.7,26.3,9,100.0
S1158,Priya Nair,A,CSE,60.7,29.9,6,88.9
S1159,Rahul Gupta,C,IT,82.9,23.0,8,64.7
S1160,Aarav Nair,C,CSE,63.3,31.1,0,60.5
S1161,Kritika Saxena,C,AIML,84.4,37.2,6,54.3
S1162,Reyansh Gupta,B,CSE,88.9,27.3,5,66.6
S1163,Shreya Mishra,B,CSE,65.2,30.4,9,62.2
S1164,Simran Reddy,B,AIML,86.6,32.1,8,72.7
S1165,Ishaan Chauhan,A,CSE,80.0,25.6,0,60.6
S1166,Arjun Patel,B,CSE,84.9,29.3,3,86.2
S1167,Nikhil Rao,A,AIML,97.8,28.1,8,66.9
S1168,Ananya Nair,A,CSE,72.1,28.6,3,61.1
S1169,Shreya Rao,B,AIML,66.0,23.4,9,80.4
S1170,Kritika Iyer,B,CSE,64.3,28.1,2,40.7
S1171,Aarav Bhatt,B,AIML,65.2,31.0,8,70.1
S1172,Priya Singh,C,AIML,74.1,36.7,1,65.4
S1173,Ishaan Reddy,B,CSE,79.1,33.8,3,43.8
S1174,Krishna Singh,C,CSE,78.3,40.0,5,39.4
S1175,Meera Kumar,A,CSE,84.9,23.4,1,80.2
S1176,Anika Rao,C,IT,75.2,33.2,7,79.4
S1177,Sneha Mishra,B,IT,92.4,29.1,7,67.6
S1178,Karan Mishra,A,IT,71.8,40.0,0,90.7
S1179,Saanvi Iyer,A,AIML,100.0,23.2,2,71.6
S1180,Pooja Reddy,A,CSE,82.5,23.0,9,83.7
S1181,Vihaan Gupta,C,AIML,64.7,24.4,8,71.3
S1182,Dev Reddy,B,IT,62.1,15.3,4,60.9
S1183,Aditya Sharma,A,CSE,80.8,24.8,5,49.1
S1184,Karan Kumar,A,AIML,72.3,23.4,3,55.9
S1185,Saanvi Yadav,A,CSE,83.6,28.9,9,61.1
S1186,Raj Bhatt,C,AIML,80.7,30.1,1,85.4
S1187,Dev Bhatt,C,CSE,74.1,39.3,10,76.5
S1188,Aarav Singh,B,IT,64.8,33.7,7,70.0
S1189,Arjun Kumar,C,IT,56.8,24.5,10,78.1
S1190,Shreya Verma,A,CSE,69.6,22.6,5,72.9
S1191,Nikhil Saxena,B,AIML,85.3,31.0,4,68.9
S1192,Meera Kumar,A,IT,77.6,20.1,8,42.5
S1193,Dev Kumar,A,IT,60.1,39.0,0,82.1
S1194,Aditya Rao,C,IT,77.1,35.1,4,58.1
S1195,Nikhil Verma,B,CSE,79.6,25.2,5,81.3
S1196,Aman Mishra,C,CSE,64.4,17.7,4,82.8
S1197,Aadhya Singh,C,AIML,76.8,36.1,5,54.9
S1198,Aman Bhatt,B,AIML,75.7,27.3,5,79.2
S1199,Manav Agarwal,A,AIML,61.3,35.4,6,59.6
