Student_ID,Name,Section,Branch,Attendance(%),Internal_Marks,Assignments_Submitted,Previous_Sem_Result(%),Risk_Score,Risk_Zone
S1000,Krishna Sharma,C,IT,81.0,30.1,2,82.8,78.17,Green
S1001,Anika Patel,A,CSE,73.3,31.4,0,64.4,63.81,Yellow
S1002,Myra Kumar,C,IT,82.8,34.5,4,67.6,85.73,Green
S1003,Reyansh Bhatt,C,CSE,93.3,34.3,6,78.6,99.49,Green
S1004,Sai Saxena,A,CSE,72.2,19.7,5,64.9,73.94,Green
S1005,Dev Verma,A,AIML,72.2,22.4,0,71.8,58.26,Yellow
S1006,Vivaan Gupta,C,CSE,94.0,31.1,4,77.2,88.58,Green
S1007,Kavya Patel,B,AIML,84.2,31.1,4,73.5,85.02,Green
S1008,Simran Agarwal,C,IT,69.4,31.1,5,69.3,84.06,Green
S1009,Vivaan Bhatt,C,IT,81.5,40.0,2,91.7,89.22,Green
S1010,Isha Bhatt,C,IT,69.4,31.4,4,83.6,84.6,Green
S1011,Manav Patel,C,IT,69.4,34.8,6,63.7,89.46,Green
S1012,Raj Saxena,A,AIML,77.9,33.7,4,51.4,78.98,Green
S1013,Anika Sharma,C,IT,52.0,31.9,4,74.6,77.96,Green
S1014,Ananya Kapoor,B,CSE,54.3,26.1,4,68.2,71.78,Green
S1015,Karan Reddy,A,CSE,68.3,32.6,9,90.6,107.42,Green
S1016,Rohan Mishra,B,CSE,62.8,23.4,9,79.8,95.14,Green
S1017,Karan Singh,B,AIML,78.8,26.6,2,76.5,72.82,Green
S1018,Sai Malhotra,B,IT,64.1,25.1,0,65.2,56.5,Yellow
S1019,Reyansh Chauhan,B,IT,58.1,28.5,4,51.9,69.84,Yellow
S1020,Aman Agarwal,A,IT,92.6,40.0,8,62.0,107.08,Green
S1021,Saanvi Verma,A,AIML,72.3,16.8,0,72.2,53.74,Yellow
S1022,Varun Bhatt,B,CSE,75.8,32.1,2,39.1,65.43,Yellow
S1023,Krishna Malhotra,B,CSE,57.9,18.3,3,83.6,66.81,Yellow
S1024,Sai Bhatt,A,IT,68.5,25.2,0,96.0,66.92,Yellow
S1025,Riya Agarwal,A,CSE,76.3,34.5,0,35.8,58.56,Yellow
S1026,Nikhil Saxena,A,CSE,61.2,28.4,7,44.0,80.17,Green
S1027,Isha Gupta,C,AIML,79.5,21.5,1,68.4,62.31,Yellow
S1028,Aditya Patel,C,AIML,67.8,23.7,7,56.3,81.59,Green
S1029,Riya Gupta,C,AIML,71.5,32.1,6,68.9,89.3,Green
S1030,Myra Singh,B,AIML,67.8,23.6,9,63.9,91.79,Green
S1031,Yash Reddy,C,IT,97.2,29.3,9,49.6,99.6,Green
S1032,Varun Chauhan,B,AIML,74.8,28.3,1,84.3,71.57,Green
S1033,Ananya Chauhan,B,CSE,62.3,24.1,5,72.0,77.26,Green
S1034,Aman Mishra,C,IT,84.9,40.0,5,56.6,91.54,Green
S1035,Anika Gupta,B,CSE,60.3,31.8,2,87.6,75.86,Green
S1036,Sneha Yadav,C,CSE,77.5,15.8,10,57.4,89.76,Green
S1037,Shreya Patel,C,CSE,51.5,29.1,1,46.4,55.04,Yellow
S1038,Ananya Nair,A,AIML,59.1,24.0,0,67.8,55.11,Yellow
S1039,Yash Reddy,C,AIML,77.4,33.1,5,70.3,88.02,Green
S1040,Meera Patel,A,IT,83.9,23.2,4,73.0,78.21,Green
S1041,Rahul Verma,C,IT,77.1,27.3,10,75.4,104.65,Green
S1042,Myra Verma,C,AIML,73.6,31.0,8,72.7,98.04,Green
S1043,Rahul Malhotra,A,CSE,71.4,33.2,0,72.1,67.15,Yellow
S1044,Anika Gupta,A,IT,57.3,20.8,6,56.4,72.58,Green
S1045,Kavya Saxena,C,AIML,66.4,26.0,4,54.8,70.71,Green
S1046,Rahul Mishra,B,AIML,69.5,25.2,4,76.1,77.2,Green
S1047,Pooja Malhotra,A,AIML,87.7,24.1,1,68.7,66.62,Yellow
S1048,Varun Kumar,B,CSE,79.1,38.6,10,77.3,115.13,Green
S1049,Saanvi Kumar,B,AIML,53.8,30.4,2,39.4,58.6,Yellow
S1050,Aadhya Bhatt,B,AIML,78.9,20.4,6,57.5,77.97,Green
S1051,Shreya Reddy,A,AIML,70.4,33.5,5,93.6,93.6,Green
S1052,Divya Kapoor,B,AIML,66.9,40.0,1,73.3,76.05,Green
S1053,Divya Malhotra,A,IT,82.3,34.2,5,69.4,89.9,Green
S1054,Nikhil Patel,B,IT,87.4,18.9,1,75.6,64.28,Yellow
S1055,Ishaan Iyer,C,AIML,86.2,25.1,1,98.1,75.9,Green
S1056,Pooja Gupta,C,CSE,64.9,35.6,1,95.0,78.39,Green
S1057,Vihaan Singh,A,IT,71.3,23.8,10,41.3,90.05,Green
S1058,Rohan Yadav,C,AIML,79.0,30.7,2,46.8,67.37,Yellow
S1059,Dev Agarwal,C,IT,86.7,32.6,1,40.8,65.08,Yellow
S1060,Arjun Malhotra,B,IT,69.2,22.4,3,53.8,64.11,Yellow
S1061,Yash Agarwal,A,CSE,72.8,27.6,8,65.8,92.94,Green
S1062,Varun Iyer,B,AIML,61.7,8.6,5,68.6,63.17,Yellow
S1063,Saanvi Bhatt,B,AIML,60.6,21.9,0,42.0,46.0,Yellow
S1064,Aarav Singh,B,CSE,84.8,26.5,7,37.0,82.38,Green
S1065,Shreya Reddy,B,CSE,91.3,20.5,6,53.5,79.96,Green
S1066,Karan Singh,B,AIML,74.1,37.8,9,78.7,109.64,Green
S1067,Riya Kapoor,B,AIML,87.0,19.4,2,81.4,70.34,Green
S1068,Ananya Nair,B,CSE,79.3,25.4,0,90.6,68.17,Yellow
S1069,Aarav Reddy,A,IT,67.3,28.8,4,64.5,76.18,Green
S1070,Simran Yadav,C,IT,79.3,36.6,3,77.4,85.54,Green
S1071,Simran Singh,B,CSE,93.5,19.4,9,80.1,99.57,Green
S1072,Priya Iyer,B,IT,74.6,35.0,7,57.5,93.07,Green
S1073,Sneha Mishra,B,CSE,93.8,28.1,0,70.8,68.11,Yellow
S1074,Rohan Chauhan,B,IT,43.6,22.1,9,74.9,87.79,Green
S1075,Ananya Bhatt,B,IT,84.9,30.8,0,51.4,62.31,Yellow
S1076,Tanya Sharma,B,AIML,76.0,29.2,3,89.6,82.21,Green
S1077,Sneha Joshi,C,AIML,71.4,24.4,7,64.4,85.5,Green
S1078,Pooja Sharma,C,IT,76.1,28.4,4,66.3,78.58,Green
S1079,Krishna Chauhan,B,IT,51.1,25.7,1,50.8,53.43,Yellow
S1080,Priya Patel,C,AIML,72.4,28.7,5,53.3,78.01,Green
S1081,Vihaan Patel,A,AIML,79.3,32.0,4,32.1,72.12,Green
S1082,Nisha Gupta,B,AIML,92.7,37.5,1,65.8,78.16,Green
S1083,Sai Menon,A,CSE,68.8,20.6,10,100.0,104.37,Green
S1084,Arjun Bhatt,A,IT,65.3,40.0,10,49.7,104.57,Green
S1085,Ishaan Kumar,B,AIML,69.0,16.3,10,100.0,100.83,Green
S1086,Neha Bhatt,C,IT,86.0,27.1,2,86.2,77.94,Green
S1087,Ananya Reddy,A,CSE,78.9,31.5,8,57.9,95.34,Green
S1088,Tanya Agarwal,B,CSE,68.6,29.7,6,65.4,85.52,Green
S1089,Dev Mishra,A,AIML,81.2,24.3,6,63.0,83.45,Green
