,Student_ID,Attendance(%),Internal_Marks,Assignments_Submitted,Previous_Sem_Result(%),Name,Section,Branch
0,S1000,81.0,30.1,2,82.8,Krishna Sharma,C,IT
1,S1001,73.3,31.4,0,64.4,Anika Patel,A,CSE
2,S1002,82.8,34.5,4,67.6,Myra Kumar,C,IT
3,S1003,93.3,34.3,6,78.6,Reyansh Bhatt,C,CSE
4,S1004,72.2,19.7,5,64.9,Sai Saxena,A,CSE
5,S1005,72.2,22.4,0,71.8,Dev Verma,A,AIML
6,S1006,94.0,31.1,4,77.2,Vivaan Gupta,C,CSE
7,S1007,84.2,31.1,4,73.5,Kavya Patel,B,AIML
8,S1008,69.4,31.1,5,69.3,Simran Agarwal,C,IT
9,S1009,81.5,40.0,2,91.7,Vivaan Bhatt,C,IT
10,S1010,69.4,31.4,4,83.6,Isha Bhatt,C,IT
11,S1011,69.4,34.8,6,63.7,Manav Patel,C,IT
12,S1012,77.9,33.7,4,51.4,Raj Saxena,A,AIML
13,S1013,52.0,31.9,4,74.6,Anika Sharma,C,IT
14,S1014,54.3,26.1,4,68.2,Ananya Kapoor,B,CSE
15,S1015,68.3,32.6,9,90.6,Karan Reddy,A,CSE
16,S1016,62.8,23.4,9,79.8,Rohan Mishra,B,CSE
17,S1017,78.8,26.6,2,76.5,Karan Singh,B,AIML
18,S1018,64.1,25.1,0,65.2,Sai Malhotra,B,IT
19,S1019,58.1,28.5,4,51.9,Reyansh Chauhan,B,IT
20,S1020,92.6,40.0,8,62.0,Aman Agarwal,A,IT
21,S1021,72.3,16.8,0,72.2,Saanvi Verma,A,AIML
22,S1022,75.8,32.1,2,39.1,Varun Bhatt,B,CSE
23,S1023,57.9,18.3,3,83.6,Krishna Malhotra,B,CSE
24,S1024,68.5,25.2,0,96.0,Sai Bhatt,A,IT
25,S1025,76.3,34.5,0,35.8,Riya Agarwal,A,CSE
26,S1026,61.2,28.4,7,44.0,Nikhil Saxena,A,CSE
27,S1027,79.5,21.5,1,68.4,Isha Gupta,C,AIML
28,S1028,67.8,23.7,7,56.3,Aditya Patel,C,AIML
29,S1029,71.5,32.1,6,68.9,Riya Gupta,C,AIML
30,S1030,67.8,23.6,9,63.9,Myra Singh,B,AIML
31,S1031,97.2,29.3,9,49.6,Yash Reddy,C,IT
32,S1032,74.8,28.3,1,84.3,Varun Chauhan,B,AIML
33,S1033,62.3,24.1,5,72.0,Ananya Chauhan,B,CSE
34,S1034,84.9,40.0,5,56.6,Aman Mishra,C,IT
35,S1035,60.3,31.8,2,87.6,Anika Gupta,B,CSE
36,S1036,77.5,15.8,10,57.4,Sneha Yadav,C,CSE
37,S1037,51.5,29.1,1,46.4,Shreya Patel,C,CSE
38,S1038,59.1,24.0,0,67.8,Ananya Nair,A,AIML
39,S1039,77.4,33.1,5,70.3,Yash Reddy,C,AIML
40,S1040,83.9,23.2,4,73.0,Meera Patel,A,IT
41,S1041,77.1,27.3,10,75.4,Rahul Verma,C,IT
42,S1042,73.6,31.0,8,72.7,Myra Verma,C,AIML
43,S1043,71.4,33.2,0,72.1,Rahul Malhotra,A,CSE
44,S1044,57.3,20.8,6,56.4,Anika Gupta,A,IT
45,S1045,66.4,26.0,4,54.8,Kavya Saxena,C,AIML
46,S1046,69.5,25.2,4,76.1,Rahul Mishra,B,AIML
47,S1047,87.7,24.1,1,68.7,Pooja Malhotra,A,AIML
48,S1048,79.1,38.6,10,77.3,Varun Kumar,B,CSE
49,S1049,53.8,30.4,2,39.4,Saanvi Kumar,B,AIML
50,S1050,78.9,20.4,6,57.5,Aadhya Bhatt,B,AIML
51,S1051,70.4,33.5,5,93.6,Shreya Reddy,A,AIML
52,S1052,66.9,40.0,1,73.3,Divya Kapoor,B,AIML
53,S1053,82.3,34.2,5,69.4,Divya Malhotra,A,IT
54,S1054,87.4,18.9,1,75.6,Nikhil Patel,B,IT
55,S1055,86.2,25.1,1,98.1,Ishaan Iyer,C,AIML
56,S1056,64.9,35.6,1,95.0,Pooja Gupta,C,CSE
57,S1057,71.3,23.8,10,41.3,Vihaan Singh,A,IT
58,S1058,79.0,30.7,2,46.8,Rohan Yadav,C,AIML
59,S1059,86.7,32.6,1,40.8,Dev Agarwal,C,IT
60,S1060,69.2,22.4,3,53.8,Arjun Malhotra,B,IT
61,S1061,72.8,27.6,8,65.8,Yash Agarwal,A,CSE
62,S1062,61.7,8.6,5,68.6,Varun Iyer,B,AIML
63,S1063,60.6,21.9,0,42.0,Saanvi Bhatt,B,AIML
64,S1064,84.8,26.5,7,37.0,Aarav Singh,B,CSE
65,S1065,91.3,20.5,6,53.5,Shreya Reddy,B,CSE
66,S1066,74.1,37.8,9,78.7,Karan Singh,B,AIML
67,S1067,87.0,19.4,2,81.4,Riya Kapoor,B,AIML
68,S1068,79.3,25.4,0,90.6,Ananya Nair,B,CSE
69,S1069,67.3,28.8,4,64.5,Aarav Reddy,A,IT
70,S1070,79.3,36.6,3,77.4,Simran Yadav,C,IT
71,S1071,93.5,19.4,9,80.1,Simran Singh,B,CSE
72,S1072,74.6,35.0,7,57.5,Priya Iyer,B,IT
73,S1073,93.8,28.1,0,70.8,Sneha Mishra,B,CSE
74,S1074,43.6,22.1,9,74.9,Rohan Chauhan,B,IT
75,S1075,84.9,30.8,0,51.4,Ananya Bhatt,B,IT
76,S1076,76.0,29.2,3,89.6,Tanya Sharma,B,AIML
77,S1077,71.4,24.4,7,64.4,Sneha Joshi,C,AIML
78,S1078,76.1,28.4,4,66.3,Pooja Sharma,C,IT
79,S1079,51.1,25.7,1,50.8,Krishna Chauhan,B,IT
80,S1080,72.4,28.7,5,53.3,Priya Patel,C,AIML
81,S1081,79.3,32.0,4,32.1,Vihaan Patel,A,AIML
82,S1082,92.7,37.5,1,65.8,Nisha Gupta,B,AIML
83,S1083,68.8,20.6,10,100.0,Sai Menon,A,CSE
84,S1084,65.3,40.0,10,49.7,Arjun Bhatt,A,IT
85,S1085,69.0,16.3,10,100.0,Ishaan Kumar,B,AIML
86,S1086,86.0,27.1,2,86.2,Neha Bhatt,C,IT
87,S1087,78.9,31.5,8,57.9,Ananya Reddy,A,CSE
88,S1088,68.6,29.7,6,65.4,Tanya Agarwal,B,CSE
89,S1089,81.2,24.3,6,63.0,Dev Mishra,A,AIML
90,S1090,76.2,26.8,10,90.6,Shreya Mishra,A,CSE
91,S1091,86.6,25.0,5,72.8,Priya Malhotra,A,IT
92,S1092,66.6,24.5,7,82.7,Nikhil Nair,A,AIML
93,S1093,71.1,33.1,3,70.4,Tanya Nair,C,IT
94,S1094,70.3,30.1,7,63.3,Krishna Patel,A,IT
95,S1095,57.4,23.8,3,69.9,Myra Gupta,A,CSE
96,S1096,78.6,33.4,7,58.9,Karan Sharma,A,CSE
97,S1097,78.1,29.8,8,43.2,Divya Bhatt,C,CSE
98,S1098,75.1,32.9,2,77.2,Myra Saxena,A,CSE
